Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code
RIDESHARE,completed,2025-02-05T02:39:03.000Z,2025-02-05T02:55:40.000Z,2025-02-05T03:07:15.000Z,8.066595514851999,695,0.1,23.39,0.0,USD
UberX,completed,2025-02-05T02:23:31.000Z,2025-02-05T02:31:32.000Z,2025-02-05T02:36:13.000Z,1.901389687044589,281,0.1,8.94,0.0,USD
UberX,completed,2025-02-05T01:35:21.000Z,2025-02-05T01:56:34.000Z,2025-02-05T02:26:33.000Z,20.816093320743168,1799,0.1,63.29,0.0,USD
UberX,completed,2025-02-05T01:24:28.000Z,2025-02-05T01:29:34.000Z,2025-02-05T01:33:52.000Z,1.5190517983896021,258,0.1,8.94,0.0,USD
UberX,completed,2025-02-05T00:55:35.000Z,2025-02-05T01:02:35.000Z,2025-02-05T01:16:43.000Z,9.803485875152873,848,0.1,25.04,0.0,USD
UberX,completed,2025-02-05T00:44:53.000Z,2025-02-05T00:50:12.000Z,2025-02-05T00:54:09.000Z,1.501961187957967,237,0.1,8.85,0.0,USD
UberX,completed,2025-02-05T00:13:10.000Z,2025-02-05T00:18:08.000Z,2025-02-05T00:44:13.000Z,20.708446074690322,1565,0.1,55.92,0.0,USD
UberX,completed,2025-02-04T23:51:27.000Z,2025-02-04T23:53:13.000Z,2025-02-05T00:10:21.000Z,11.53208444489332,1028,0.1,33.93,0.0,USD
UberX,completed,2025-02-04T23:16:26.000Z,2025-02-04T23:21:09.000Z,2025-02-04T23:46:50.000Z,22.60962408240177,1541,0.1,46.02,0.0,USD
UberX,completed,2025-02-04T23:08:25.000Z,2025-02-04T23:10:53.000Z,2025-02-04T23:15:36.000Z,2.1909317550078855,283,0.1,8.94,0.0,USD
UberX,completed,2025-02-04T19:50:17.000Z,2025-02-04T19:54:58.000Z,2025-02-04T20:28:26.000Z,25.189919681375706,2008,0.1,55.07,0.0,USD
UberX,completed,2025-02-04T19:50:00.000Z,2025-02-04T19:40:28.000Z,2025-02-04T19:48:06.000Z,2.668438837855905,458,0.1,11.94,0.0,USD
UberX,completed,2025-02-04T19:22:39.000Z,2025-02-04T19:24:52.000Z,2025-02-04T19:30:29.000Z,2.7097569139200486,337,0.1,9.27,0.0,USD
UberX,completed,2025-02-04T18:55:03.000Z,2025-02-04T18:57:54.000Z,2025-02-04T19:13:02.000Z,6.552096884781143,908,0.1,25.98,0.0,USD
Mid-Tier,completed,2025-02-04T18:40:29.000Z,2025-02-04T18:44:54.000Z,2025-02-04T18:55:57.000Z,2.9255349101548433,663,0.11,17.22,0.0,USD
UberX,completed,2025-02-04T18:26:11.000Z,2025-02-04T18:32:32.000Z,2025-02-04T18:38:32.000Z,1.0229541358771568,360,0.1,8.94,0.0,USD
UberX,completed,2025-02-04T18:12:49.000Z,2025-02-04T18:16:49.000Z,2025-02-04T18:27:37.000Z,2.2730876587387625,648,0.1,11.95,0.0,USD
UberX,completed,2025-02-04T17:54:58.000Z,2025-02-04T17:56:39.000Z,2025-02-04T18:10:38.000Z,2.924703652938387,839,0.1,12.9,0.0,USD
UberX,completed,2025-02-04T16:50:32.000Z,2025-02-04T17:06:56.000Z,2025-02-04T17:47:55.000Z,7.98214872639492,2459,0.1,46.9,0.0,USD
UberX,completed,2025-02-04T16:24:04.000Z,2025-02-04T16:31:20.000Z,2025-02-04T17:00:36.000Z,13.66354604238836,1756,0.1,42.89,0.0,USD
UberX,completed,2025-02-04T15:58:39.000Z,2025-02-04T16:02:09.000Z,2025-02-04T16:14:13.000Z,2.557796390763721,724,0.1,12.05,0.0,USD
UberX,completed,2025-02-03T21:23:46.000Z,2025-02-03T21:32:24.000Z,2025-02-03T21:51:45.000Z,15.368403825831289,1161,0.1,33.72,0.0,USD
Green,completed,2025-02-03T19:26:22.000Z,2025-02-03T19:33:05.000Z,2025-02-03T19:36:24.000Z,1.028366027845477,199,0.1,8.94,0.0,USD
Green,completed,2025-02-03T19:02:16.000Z,2025-02-03T19:07:06.000Z,2025-02-03T19:25:08.000Z,4.131114205271069,1082,0.1,23.96,0.0,USD
Green,completed,2025-02-03T18:05:24.000Z,2025-02-03T18:10:39.000Z,2025-02-03T18:22:28.000Z,6.235843366124597,709,0.1,22.92,0.0,USD
UberX,completed,2025-02-03T17:53:33.000Z,2025-02-03T18:00:22.000Z,2025-02-03T18:06:53.000Z,2.053601930767287,391,0.1,8.97,0.0,USD
UberX,completed,2025-02-03T17:15:40.000Z,2025-02-03T17:22:45.000Z,2025-02-03T17:45:31.000Z,6.695910215575135,1366,0.1,36.97,0.0,USD
UberX,completed,2025-02-03T17:05:27.000Z,2025-02-03T17:07:48.000Z,2025-02-03T17:18:05.000Z,4.47324015205945,617,0.1,18.92,0.0,USD
Green,completed,2025-02-03T16:18:40.000Z,2025-02-03T16:24:17.000Z,2025-02-03T17:05:09.000Z,16.125795035725684,2452,0.1,53.97,0.0,USD
UberX,completed,2025-02-03T16:08:13.000Z,2025-02-03T16:11:44.000Z,2025-02-03T16:17:03.000Z,1.4802724971726156,319,0.1,10.54,0.0,USD
Mid-Tier,completed,2025-02-03T15:45:16.000Z,2025-02-03T15:50:34.000Z,2025-02-03T16:05:48.000Z,5.147099220058504,914,0.11,24.48,0.0,USD
UberX,completed,2025-02-03T15:26:16.000Z,2025-02-03T15:33:55.000Z,2025-02-03T15:40:32.000Z,2.9959049182540385,397,0.1,11.71,0.0,USD
UberX,completed,2025-02-03T15:00:00.000Z,2025-02-03T14:49:34.000Z,2025-02-03T15:25:25.000Z,11.275068237560562,2151,0.1,45.93,0.0,USD
UberX,completed,2025-02-03T14:09:50.000Z,2025-02-03T14:15:24.000Z,2025-02-03T14:42:36.000Z,8.55839221123732,1632,0.1,31.3,0.0,USD
