Time,Subject,Content,Medium,Direction
2024-12-22 11:27:00,,I've arrived,intercom_text,out
2024-12-22 09:55:15,,"OK, got it!",push,out
2024-12-22 09:55:15,,"OK, got it!",intercom_text,out
2024-12-22 07:27:59,,"OK, got it!",intercom_text,out
2024-12-22 07:27:59,,"OK, got it!",push,out
2024-12-22 05:58:53,,"OK, got it!",intercom_text,out
2024-12-22 05:58:53,,"OK, got it!",push,out
2024-12-22 04:53:24,,"OK, got it!",intercom_text,out
2024-12-22 04:53:24,,"OK, got it!",push,out
2024-12-21 15:06:50,,"OK, got it!",push,out
2024-12-21 15:06:50,,"OK, got it!",intercom_text,out
2024-12-21 11:02:53,,"OK, got it!",push,out
2024-12-21 11:02:53,,"OK, got it!",intercom_text,out
2024-12-21 07:14:21,,Sorry coming baxk my map messdd up,intercom_text,out
2024-12-21 07:14:21,,Sorry coming baxk my map messdd up,push,out
2024-12-21 07:13:12,,I've arrived,push,out
2024-12-21 07:13:12,,I've arrived,intercom_text,out
2024-12-21 06:39:02,,"OK, got it!",push,out
2024-12-21 06:39:02,,"OK, got it!",intercom_text,out
2024-12-21 03:41:58,,?,intercom_text,out
2024-12-21 03:41:58,,?,push,out
2024-12-21 03:41:56,,Are you on sepulveda,push,out
2024-12-21 03:41:56,,Are you on sepulveda,intercom_text,out
2024-12-21 03:41:49,,Blue car,push,out
2024-12-21 03:41:49,,Blue car,intercom_text,out
2024-12-21 03:41:46,,I think im out front,push,out
2024-12-21 03:41:46,,I think im out front,intercom_text,out
2024-12-21 03:41:41,,"OK, got it!",intercom_text,out
2024-12-21 03:41:41,,"OK, got it!",push,out
2024-12-21 03:40:39,,I've arrived,push,out
2024-12-21 03:40:39,,I've arrived,intercom_text,out
2024-12-20 06:58:14,,Near the steps,push,out
2024-12-20 06:58:14,,Near the steps,intercom_text,out
2024-12-20 06:58:09,,I’m on labrea,push,out
2024-12-20 06:58:09,,I’m on labrea,intercom_text,out
2024-12-20 06:34:42,,Im in alley,intercom_text,out
2024-12-20 06:34:42,,Im in alley,push,out
2024-12-20 06:34:38,,Ok i’ll come there,push,out
2024-12-20 06:34:38,,Ok i’ll come there,intercom_text,out
2024-12-19 13:41:05,,I've arrived,intercom_text,out
2024-12-19 13:41:05,,I've arrived,push,out
2024-12-19 13:40:59,,"OK, got it!",intercom_text,out
2024-12-19 13:40:59,,"OK, got it!",push,out
2024-12-19 13:40:53,,"OK, got it!",push,out
2024-12-19 13:40:53,,"OK, got it!",intercom_text,out
2024-12-19 12:58:40,,"OK, got it!",push,out
2024-12-19 12:58:40,,"OK, got it!",intercom_text,out
2024-12-19 09:11:49,,"OK, got it!",intercom_text,out
2024-12-19 09:11:49,,"OK, got it!",push,out
2024-12-19 09:11:20,,I've arrived,intercom_text,out
2024-12-19 09:11:20,,I've arrived,push,out
2024-12-19 08:41:31,,I've arrived,push,out
2024-12-19 08:41:31,,I've arrived,intercom_text,out
2024-12-19 08:20:16,,I've arrived,intercom_text,out
2024-12-19 08:20:16,,I've arrived,push,out
2024-12-19 07:23:44,,"OK, got it!",intercom_text,out
2024-12-19 07:23:44,,"OK, got it!",push,out
2024-12-19 07:22:38,,I've arrived,intercom_text,out
2024-12-19 07:22:38,,I've arrived,push,out
2024-12-18 09:52:07,,Whatsup?,intercom_text,out
2024-12-18 09:52:07,,Whatsup?,push,out
2024-12-18 09:51:58,,I'm on my way,intercom_text,out
2024-12-18 09:51:58,,I'm on my way,push,out
2024-12-18 07:23:57,,I've arrived,intercom_text,out
2024-12-18 07:23:57,,I've arrived,push,out
2024-12-18 06:52:17,,"OK, got it!",intercom_text,out
2024-12-18 06:52:17,,"OK, got it!",push,out
2024-12-18 06:51:03,,"OK, got it!",intercom_text,out
2024-12-18 06:51:03,,"OK, got it!",push,out
2024-12-18 06:35:33,,I've arrived,push,out
2024-12-18 06:35:33,,I've arrived,intercom_text,out
2024-12-18 06:32:08,,"OK, got it!",push,out
2024-12-18 06:32:08,,"OK, got it!",intercom_text,out
2024-12-18 05:58:29,,"OK, got it!",push,out
2024-12-18 05:58:29,,"OK, got it!",intercom_text,out
2024-12-18 03:13:11,,"OK, got it!",intercom_text,out
2024-12-18 03:13:11,,"OK, got it!",push,out
2024-12-17 01:05:52,,I've arrived,intercom_text,out
2024-12-17 01:05:52,,I've arrived,push,out
2024-12-17 01:04:44,,"OK, got it!",push,out
2024-12-17 01:04:44,,"OK, got it!",intercom_text,out
2024-12-16 23:58:03,,Here,intercom_text,out
2024-12-16 23:58:03,,Here,push,out
2024-12-16 23:57:21,,"OK, got it!",push,out
2024-12-16 23:57:21,,"OK, got it!",intercom_text,out
2024-12-15 16:36:58,,Waited 10 minutes,intercom_text,out
2024-12-15 16:36:55,,I drove 20 minutes to get there,intercom_text,out
2024-12-15 16:36:47,,Dude,intercom_text,out
2024-12-15 16:36:41,,How Can I show you its in my history if that’s why I’m reaching out to you,intercom_text,out
2024-12-15 16:36:15,,That’s the issue,intercom_text,out
2024-12-15 16:36:13,,I’m messaging you to tell you that a trip is not in my history,intercom_text,out
2024-12-15 16:35:06,,Tell me that,intercom_text,out
2024-12-15 16:35:02,,How can I have called Amber through uber driver audio if the trip doesnt exist,intercom_text,out
2024-12-15 16:34:39,,Do you see my screenshot?,intercom_text,out
2024-12-15 16:34:28,,Dude,intercom_text,out
2024-12-15 16:34:27,,Even waited an extra 5 minutes,intercom_text,out
2024-12-15 16:34:17,,Waited and called a bunch,intercom_text,out
2024-12-15 16:34:07,,I drove 20 minutes to get there,intercom_text,out
2024-12-15 16:33:59,,It was somewhere in pacific palisades where there was no service,intercom_text,out
2024-12-15 16:33:26,,That’s why i’m telling you,intercom_text,out
2024-12-15 16:33:18,,But I don’t have it because it’s not on my trip history,intercom_text,out
2024-12-15 16:33:02,,See Amber? Uber driver audio?,intercom_text,out
2024-12-15 16:32:52,,Do you see the screenshot i sent you?,intercom_text,out
2024-12-15 16:32:44,,Ok,intercom_text,out
2024-12-15 16:32:32,,It was before i drove Romi,intercom_text,out
2024-12-15 16:32:18,,Because i dont screenshot trips before i cancel i assumed I would be paid for the cancellation,intercom_text,out
2024-12-15 16:32:03,,But not of her trip,intercom_text,out
2024-12-15 16:32:00,,Of me calling amber,intercom_text,out
2024-12-15 16:31:57,,I have the screenshots,intercom_text,out
2024-12-15 16:31:53,,Attachment - 1 Image,intercom_text,out
2024-12-15 16:31:26,,I dont have it,intercom_text,out
2024-12-15 16:31:20,,The name was amber,intercom_text,out
2024-12-15 16:31:16,,It was in between 4:18 and then next one,intercom_text,out
2024-12-15 16:30:42,,It was 12/15 this morning,intercom_text,out
2024-12-15 16:29:31,,Hey there was a ride that i should get cancellation for that isnt showing up in my earnings,intercom_text,out
2024-12-15 13:19:58,,I’m cancelling on you,intercom_text,out
2024-12-15 13:19:58,,I’m cancelling on you,push,out
2024-12-15 13:15:01,,I've arrived,push,out
2024-12-15 13:15:01,,I've arrived,intercom_text,out
2024-12-15 13:07:12,,I've arrived,push,out
2024-12-15 13:07:12,,I've arrived,intercom_text,out
2024-12-15 13:04:27,,I've arrived,push,out
2024-12-15 13:04:27,,I've arrived,intercom_text,out
2024-12-15 10:33:26,,I've arrived,intercom_text,out
2024-12-15 10:33:26,,I've arrived,push,out
2024-12-15 09:55:30,,I've arrived,intercom_text,out
2024-12-15 09:55:30,,I've arrived,push,out
2024-12-15 08:53:28,,I've arrived,push,out
2024-12-15 08:53:28,,I've arrived,intercom_text,out
2024-12-15 07:48:22,,"OK, got it!",push,out
2024-12-15 07:48:22,,"OK, got it!",intercom_text,out
2024-12-14 10:39:26,,I've arrived,push,out
2024-12-14 10:39:26,,I've arrived,intercom_text,out
2024-12-13 09:48:15,,I've arrived,intercom_text,out
2024-12-13 09:48:15,,I've arrived,push,out
2024-12-13 02:48:14,,"OK, got it!",intercom_text,out
2024-12-13 02:48:14,,"OK, got it!",push,out
2024-12-10 23:34:57,,I’m across the street where u were,intercom_text,out
2024-12-10 23:34:57,,I’m across the street where u were,push,out
2024-12-10 23:34:47,,Hey,intercom_text,out
2024-12-10 23:34:47,,Hey,push,out
2024-12-10 21:54:53,,I've arrived,intercom_text,out
2024-12-10 21:54:53,,I've arrived,push,out
2024-12-10 18:57:01,,"OK, got it!",push,out
2024-12-10 18:57:01,,"OK, got it!",intercom_text,out
2024-12-04 23:42:21,,"OK, got it!",push,out
2024-12-04 23:42:21,,"OK, got it!",intercom_text,out
2024-12-04 00:58:19,,"OK, got it!",intercom_text,out
2024-12-04 00:58:19,,"OK, got it!",push,out
2024-12-01 12:17:30,,Can't talk right now. I'm driving.,sms,in
2024-12-01 12:17:11,,Can't talk right now. I'm driving.,sms,in
2024-12-01 11:24:30,,I've arrived,intercom_text,out
2024-12-01 11:24:30,,I've arrived,push,out
2024-12-01 09:49:03,,I've arrived,intercom_text,out
2024-12-01 09:49:03,,I've arrived,push,out
2024-12-01 09:49:02,,"OK, got it!",intercom_text,out
2024-12-01 09:49:02,,"OK, got it!",push,out
2024-11-30 10:16:36,,I've arrived,intercom_text,out
2024-11-30 10:16:36,,I've arrived,push,out
2024-11-30 10:00:52,,I've arrived,intercom_text,out
2024-11-30 10:00:52,,I've arrived,push,out
2024-11-30 06:59:18,,I've arrived,intercom_text,out
2024-11-30 06:59:18,,I've arrived,push,out
2024-11-30 06:43:30,,"OK, got it!",intercom_text,out
2024-11-30 06:43:30,,"OK, got it!",push,out
2024-11-30 01:30:25,,"OK, got it!",push,out
2024-11-30 01:30:24,,"OK, got it!",intercom_text,out
2024-11-30 01:02:02,,"OK, got it!",intercom_text,out
2024-11-30 01:02:02,,"OK, got it!",push,out
2024-11-18 10:05:00,,"OK, got it!",push,out
2024-11-18 10:05:00,,"OK, got it!",intercom_text,out
2024-11-18 07:52:42,,I've arrived,intercom_text,out
2024-11-18 07:52:42,,I've arrived,push,out
2024-11-18 04:09:58,,Outside gate,push,out
2024-11-18 04:09:58,,Outside gate,intercom_text,out
2024-11-18 04:09:55,,I've arrived,intercom_text,out
2024-11-18 04:09:55,,I've arrived,push,out
2024-11-17 10:31:26,,I've arrived,push,out
2024-11-17 10:31:26,,I've arrived,intercom_text,out
2024-11-17 09:39:30,,I've arrived,push,out
2024-11-17 09:39:30,,I've arrived,intercom_text,out
2024-11-17 05:03:59,,"OK, got it!",intercom_text,out
2024-11-17 05:03:59,,"OK, got it!",push,out
2024-11-15 02:43:17,,A car is behind me i have to go a bit forward,push,out
2024-11-15 02:43:17,,A car is behind me i have to go a bit forward,intercom_text,out
2024-11-15 02:42:51,,Ok,intercom_text,out
2024-11-15 02:42:51,,Ok,push,out
2024-11-15 00:39:17,,I've arrived,intercom_text,out
2024-11-15 00:39:17,,I've arrived,push,out
2024-11-10 12:43:01,,"OK, got it!",intercom_text,out
2024-11-10 12:43:01,,"OK, got it!",push,out
2024-11-10 08:03:48,,Im here,sms,in
2024-11-10 08:03:00,,Blue*,intercom_text,out
2024-11-10 08:03:00,,Blue*,push,out
2024-11-10 08:02:54,,Blie car,intercom_text,out
2024-11-10 08:02:54,,Blie car,push,out
2024-11-10 08:02:53,,Im here,intercom_text,out
2024-11-10 08:02:53,,Im here,push,out
2024-11-10 07:58:27,,Blue car,sms,in
2024-11-10 07:58:19,,Im here,sms,in
2024-11-10 07:58:00,,8002 wadsworth?,sms,in
2024-11-07 06:03:04,,"OK, got it!",intercom_text,out
2024-11-07 06:03:04,,"OK, got it!",push,out
2024-11-07 06:02:47,,On tobias avenue or on the side street?,push,out
2024-11-07 06:02:47,,On tobias avenue or on the side street?,intercom_text,out
2024-11-07 06:02:34,,Where should I meet you?,push,out
2024-11-07 06:02:34,,Where should I meet you?,intercom_text,out
2024-11-03 07:01:35,,Actually pick up spot is fine,push,out
2024-11-03 07:01:35,,Actually pick up spot is fine,intercom_text,out
2024-11-03 07:00:11,,Sorry we’re on the corner. Kings and 1st,intercom_text,out
2024-11-03 07:00:11,,Sorry we’re on the corner. Kings and 1st,push,out
2024-11-03 06:58:12,,Can you pick me up at my pickup location. Orlando and 1st?,push,out
2024-11-03 06:58:12,,Can you pick me up at my pickup location. Orlando and 1st?,intercom_text,out
