City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Los Angeles,Alessandro's Pizza (Van Nuys),2022-04-26T03:32:09.000Z,2022-04-26T04:50:58.000Z,completed,"Pepperoni Small (10\")",1,"",,,15.99,30.59,USD
Los Angeles,Milan’s Pizzeria,2022-04-16T23:48:18.000Z,2022-04-17T00:17:40.000Z,completed,Philly Cheese Steak Sub,1,"Water bottle, Fries",0.0,can I have a side of buffalo sauce?,12.99,14.22,USD
Los Angeles,NY Crust Pizzeria (Van Nuys),2022-04-15T02:16:54.000Z,2022-04-15T02:49:23.000Z,completed,Create Your Own Pizza,1,"Medium (12\")",1.0,,12.99,33.27,USD
Los Angeles,NY Crust Pizzeria (Van Nuys),2022-04-15T02:16:54.000Z,2022-04-15T02:49:23.000Z,completed,Create Your Own Pizza,1,"Black Olives , Pepperoni , Jalapeno Pepper",1.75,,12.99,33.27,USD
Los Angeles,NY Crust Pizzeria (Van Nuys),2022-04-15T02:16:54.000Z,2022-04-15T02:49:23.000Z,completed,Create Your Own Pizza,1,Regular,0.0,,12.99,33.27,USD
Los Angeles,NY Crust Pizzeria (Van Nuys),2022-04-15T02:16:54.000Z,2022-04-15T02:49:23.000Z,completed,Crushed Red Peppers,1,"",,,1.0,33.27,USD
Los Angeles,NY Crust Pizzeria (Van Nuys),2022-04-15T02:16:54.000Z,2022-04-15T02:49:23.000Z,completed,Mexican Glass,1,Orange Crush,0.0,,3.25,33.27,USD
Los Angeles,Festival's Pastas (Van Nuys),2022-04-15T02:15:06.000Z,2022-04-15T02:15:49.000Z,canceled,Chicken Parmigiana,1,Garlic Bread (Small),2.99,,15.99,0.0,USD
Los Angeles,Festival's Pastas (Van Nuys),2022-04-15T02:15:06.000Z,2022-04-15T02:15:49.000Z,canceled,Mexican Glass Sprite,1,"",,,4.99,0.0,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-04-13T01:49:34.000Z,2022-04-13T02:18:38.000Z,completed,Orange Crush,1,"",,,3.0,29.96,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-04-13T01:49:34.000Z,2022-04-13T02:18:38.000Z,completed,Buffalo Sauce,1,"",,,1.0,29.96,USD
Los Angeles,Alessandro's Pizza (Van Nuys),2022-04-13T01:49:34.000Z,2022-04-13T02:18:38.000Z,completed,Create Your Own Small Pizza,1,"Pepperoni, Jalapeno Peppers, Black Olives",1.25,,12.99,29.96,USD
Los Angeles,Hanabishi by Kyushu Ramen,2022-04-02T22:15:46.000Z,2022-04-02T22:51:12.000Z,completed,Coke,1,"",,,2.5,29.91,USD
Los Angeles,Hanabishi by Kyushu Ramen,2022-04-02T22:15:46.000Z,2022-04-02T22:51:12.000Z,completed,Jalapeno Roll,1,"",,,7.19,29.91,USD
Los Angeles,Hanabishi by Kyushu Ramen,2022-04-02T22:15:46.000Z,2022-04-02T22:51:12.000Z,completed,Spicy Fried Chicken Karaage Bowl,1,"",,,13.1,29.91,USD
Los Angeles,Hanabishi by Kyushu Ramen,2022-04-02T22:15:46.000Z,2022-04-02T22:51:12.000Z,completed,Gyoza (5 pcs),1,Chicken,0.0,,8.0,29.91,USD
Los Angeles,Angelino's Burgers/Pizza,2022-04-02T01:08:16.000Z,2022-04-02T01:36:11.000Z,completed,Buffalo Sauce,1,"",,,1.0,53.09,USD
