Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2025-01-18 06:24:11.816,2025-01-18 06:24:21.610,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:12.484,2025-01-18 06:24:21.610,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:12.685,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,custom
2025-01-18 06:24:12.690,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:12.691,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:12.691,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:12.691,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:12.691,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:12.955,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
2025-01-18 06:24:13.549,2025-01-18 06:24:22.580,5.0,34.05529,-118.38613,0.0,los_angeles,--,65535,65535,,0FC33072-C272-4011-9ADF-376EEE78CF04,,en_US,"iPhone17,2",ios,18.2.1,US,2025-01-18 06:24:05.224,impression
